,secid,cname,cname_norm,nn_match,nn_score,nn_gvkey,nn_coname
500,2414,COMPUTER ASSOCIATES INTERNATIONAL INC,computerassociatesinternational,cameroninternational,71,60894.0,CAMERON INTERNATIONAL CORP
501,8424,SHOE CARNIVAL INC,shoecarnival,shoecarnival,100,27938.0,SHOE CARNIVAL INC
502,3469,EXAR CORP,exar,exar,100,4476.0,EXAR CORP
503,2438,COMPUWARE CORP,compuware,compuware,100,26011.0,COMPUWARE CORP
504,2273,COGNEX CORP,cognex,cognex,100,16188.0,COGNEX CORP
505,9426,TUESDAY MORNING CORP,tuesdaymorning,tuesdaymorning,100,11944.0,TUESDAY MORNING CORP
506,27782,AEROPOSTALE INC,aeropostale,quakerstate,64,8853.0,QUAKER STATE CORP
507,1933,CATERPILLAR INC,caterpillar,caterpillar,100,2817.0,CATERPILLAR INC
508,5411,KEANE INC,keane,keane,100,6362.0,KEANE INC
509,8563,SONIC CORP,sonic,sonic,100,23697.0,SONIC CORP
510,2839,CONCERTO SOFTWARE INC,concertosoftware,concertosoftware,100,13286.0,CONCERTO SOFTWARE INC
511,27259,CROSS COUNTRY INC,crosscountry,crosscountryhealthcare,71,144396.0,CROSS COUNTRY HEALTHCARE INC
512,9237,TIMKEN CO,timkencompany,timkencompany,100,10581.0,TIMKEN CO
513,10140,FOOT LOCKER INC,footlocker,footlocker,100,11584.0,FOOT LOCKER INC
514,4190,GILEAD SCIENCES INC,gileadsciences,gileadsciences,100,24856.0,GILEAD SCIENCES INC
515,1762,CALLAWAY GOLF CO,callawaygolfcompany,callawaygolfcompany,100,24978.0,CALLAWAY GOLF CO
516,19346,UNITED RENTALS INC NEW,unitedrentalsincnew,unitedrentals,81,66065.0,UNITED RENTALS INC
517,1128,BALL CORP,ball,ball,100,1988.0,BALL CORP
518,6263,MICRON TECHNOLOGY INC,microntechnology,microntechnology,100,7343.0,MICRON TECHNOLOGY INC
519,2951,DIEBOLD INC,diebold,dieboldnixdorf,67,3946.0,DIEBOLD NIXDORF INC
520,1410,BLACK & DECKER CORP,blackdecker,blackdecker,100,2255.0,BLACK & DECKER CORP
521,557,BEAM INC NEW,beamincnew,bankone,59,1998.0,BANK ONE CORP
522,2535,COOPER INDUSTRIES PLC,cooperindustries,cooperindustries,100,3497.0,COOPER INDUSTRIES PLC
523,4295,W W GRAINGER INC,wwgrainger,graingerww,80,5256.0,GRAINGER (W W) INC
524,9403,TRIQUINT SEMICONDUCTOR INC,triquintsemiconductor,triquintsemiconductor,100,29386.0,TRIQUINT SEMICONDUCTOR INC
525,4366,GRIFFON CORP,griffon,griffon,100,5987.0,GRIFFON CORP
526,5030,INPUT OUTPUT INC,inputoutput,intuit,59,27928.0,INTUIT INC
527,4063,GAP INC,gap,gap,100,4990.0,GAP INC
528,23553,NVIDIA CORP,nvidia,nvidia,100,117768.0,NVIDIA CORP
529,4658,HEWLETT PACKARD CO,hewlettpackardcompany,westrockcompany,67,29830.0,WESTROCK CO
530,1121,BALDOR ELECTRIC CO,baldorelectriccompany,baldorelectriccompany,100,1981.0,BALDOR ELECTRIC CO
531,8446,SIGMA ALDRICH CORP,sigmaaldrich,sigmaaldrich,100,9699.0,SIGMA-ALDRICH CORP
532,492,ALTERA CORP,altera,altera,100,14324.0,ALTERA CORP
533,23811,INFORMATICA CORP,informatica,informatica,100,120134.0,INFORMATICA CORP
534,2282,COHU INC,cohu,cohu,100,3158.0,COHU INC
535,4553,HASBRO INC,hasbro,hasbro,100,5518.0,HASBRO INC
536,25599,HEALTHSTREAM INC,healthstream,healthsource,75,16961.0,HEALTHSOURCE INC
537,26663,ALIGN TECHNOLOGY INC,aligntechnology,aligntechnology,100,141384.0,ALIGN TECHNOLOGY INC
538,7057,OWENS ILLINOIS INC,owensillinois,owensminor,70,8213.0,OWENS & MINOR INC
539,21358,VASCO DATA SECURITY INTERNATIONAL INC,vascodatasecurityinternational,vlasicfoodsinternational,74,66643.0,VLASIC FOODS INTERNATIONAL
540,5717,LINCARE HOLDINGS INC,lincareholdings,lincareholdings,100,25062.0,LINCARE HOLDINGS INC
